BROE01000001.1 Plecoglossus altivelis DNA, chr1, whole genome shotgun sequence	chr01
BROE01000002.1 Plecoglossus altivelis DNA, chr2, whole genome shotgun sequence	chr02
BROE01000003.1 Plecoglossus altivelis DNA, chr3, whole genome shotgun sequence	chr03
BROE01000004.1 Plecoglossus altivelis DNA, chr4, whole genome shotgun sequence	chr04
BROE01000005.1 Plecoglossus altivelis DNA, chr5, whole genome shotgun sequence	chr05
BROE01000006.1 Plecoglossus altivelis DNA, chr6, whole genome shotgun sequence	chr06
BROE01000007.1 Plecoglossus altivelis DNA, chr7, whole genome shotgun sequence	chr07
BROE01000008.1 Plecoglossus altivelis DNA, chr8, whole genome shotgun sequence	chr08
BROE01000009.1 Plecoglossus altivelis DNA, chr9, whole genome shotgun sequence	chr09
BROE01000010.1 Plecoglossus altivelis DNA, chr10, whole genome shotgun sequence	chr10
BROE01000011.1 Plecoglossus altivelis DNA, chr11, whole genome shotgun sequence	chr11
BROE01000012.1 Plecoglossus altivelis DNA, chr12, whole genome shotgun sequence	chr12
BROE01000013.1 Plecoglossus altivelis DNA, chr13, whole genome shotgun sequence	chr13
BROE01000014.1 Plecoglossus altivelis DNA, chr14, whole genome shotgun sequence	chr14
BROE01000015.1 Plecoglossus altivelis DNA, chr15, whole genome shotgun sequence	chr15
BROE01000016.1 Plecoglossus altivelis DNA, chr16, whole genome shotgun sequence	chr16
BROE01000017.1 Plecoglossus altivelis DNA, chr17, whole genome shotgun sequence	chr17
BROE01000018.1 Plecoglossus altivelis DNA, chr18, whole genome shotgun sequence	chr18
BROE01000019.1 Plecoglossus altivelis DNA, chr19, whole genome shotgun sequence	chr19
BROE01000020.1 Plecoglossus altivelis DNA, chr20, whole genome shotgun sequence	chr20
BROE01000021.1 Plecoglossus altivelis DNA, chr21, whole genome shotgun sequence	chr21
BROE01000022.1 Plecoglossus altivelis DNA, chr22, whole genome shotgun sequence	chr22
BROE01000023.1 Plecoglossus altivelis DNA, chr23, whole genome shotgun sequence	chr23
BROE01000024.1 Plecoglossus altivelis DNA, chr24, whole genome shotgun sequence	chr24
BROE01000025.1 Plecoglossus altivelis DNA, chr25, whole genome shotgun sequence	chr25
BROE01000026.1 Plecoglossus altivelis DNA, chr26, whole genome shotgun sequence	chr26
BROE01000027.1 Plecoglossus altivelis DNA, chr27, whole genome shotgun sequence	chr27
BROE01000028.1 Plecoglossus altivelis DNA, chr28, whole genome shotgun sequence	chr28
BROE01000029.1 Plecoglossus altivelis DNA, scaffold1, whole genome shotgun sequence	scaffold001
BROE01000030.1 Plecoglossus altivelis DNA, scaffold2, whole genome shotgun sequence	scaffold002
BROE01000031.1 Plecoglossus altivelis DNA, scaffold3, whole genome shotgun sequence	scaffold003
BROE01000032.1 Plecoglossus altivelis DNA, scaffold4, whole genome shotgun sequence	scaffold004
BROE01000033.1 Plecoglossus altivelis DNA, scaffold5, whole genome shotgun sequence	scaffold005
